image,image_path,gt_count,pred_count,tp,fp,fn,predicted_at_least_one_cylinder,matched_at_least_one_cylinder
176_jpg.rf.86b6ac6021a107a78d587ea43905619a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\176_jpg.rf.86b6ac6021a107a78d587ea43905619a.jpg,1,1,1,0,0,True,True
17_png_jpg.rf.0dc88e9b726c774eebf1d884b080fe4e.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\17_png_jpg.rf.0dc88e9b726c774eebf1d884b080fe4e.jpg,1,1,1,0,0,True,True
182_jpg.rf.ad738b16c43bc64cd344c3beb19564cf.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\182_jpg.rf.ad738b16c43bc64cd344c3beb19564cf.jpg,1,1,1,0,0,True,True
185_jpg.rf.6b19de34df9c433f43a9195754d7a77e.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\185_jpg.rf.6b19de34df9c433f43a9195754d7a77e.jpg,1,1,1,0,0,True,True
186_jpg.rf.300d41250f9bc0b8ce7985d59d0884e3.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\186_jpg.rf.300d41250f9bc0b8ce7985d59d0884e3.jpg,1,1,1,0,0,True,True
187_jpg.rf.69aef6851930b5b7b631f9fe8064a3b1.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\187_jpg.rf.69aef6851930b5b7b631f9fe8064a3b1.jpg,2,2,2,0,0,True,True
190_jpg.rf.8522cbba4f95ecff509a215e2b80ee15.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\190_jpg.rf.8522cbba4f95ecff509a215e2b80ee15.jpg,1,1,1,0,0,True,True
191_jpg.rf.93cf91c8e1724a4c0a148bffb6e29abd.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\191_jpg.rf.93cf91c8e1724a4c0a148bffb6e29abd.jpg,1,1,1,0,0,True,True
193_jpg.rf.383bef607eb2e698c43ccab1e7aaf8c6.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\193_jpg.rf.383bef607eb2e698c43ccab1e7aaf8c6.jpg,1,1,1,0,0,True,True
19_jpg.rf.41fdec7dec96659ee8c26b573aa371a8.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\19_jpg.rf.41fdec7dec96659ee8c26b573aa371a8.jpg,2,2,2,0,0,True,True
20210719_143536_jpg.rf.533b475cd6819ca917c29b353aafc1a2.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\20210719_143536_jpg.rf.533b475cd6819ca917c29b353aafc1a2.jpg,9,9,9,0,0,True,True
20210719_144951_jpg.rf.73644e44b1319df3172b32789b414c7a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\20210719_144951_jpg.rf.73644e44b1319df3172b32789b414c7a.jpg,25,25,25,0,0,True,True
20210719_150705_jpg.rf.00d3b2e2dd5cbe1a4eb3e917660bce2a.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\20210719_150705_jpg.rf.00d3b2e2dd5cbe1a4eb3e917660bce2a.jpg,10,11,6,5,4,True,True
20220213_155521_016_jpg.rf.9dc3b18f9fcd37571b559303132f5e93.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\20220213_155521_016_jpg.rf.9dc3b18f9fcd37571b559303132f5e93.jpg,1,1,1,0,0,True,True
20220213_155549_010_jpg.rf.c751fe82a6ebae7bd6cf830a3dbe3f01.jpg,F:\mine\ai_edge_system\data\gas_cylinder\CylinDeRS\test\images\20220213_155549_010_jpg.rf.c751fe82a6ebae7bd6cf830a3dbe3f01.jpg,1,1,1,0,0,True,True
